week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2022-10-10,1,209,149,60,153,127.06,23.0,6.0,82.0,19440,2505
2022-10-17,1,162,147,15,161,83.42,18.0,6.0,59.0,13431,3507
2022-11-14,1,10,5,5,166,145.73,27.5,7.25,97.25,24191,3913
2022-11-28,1,5,5,0,128,74.05,9.0,4.0,24.75,9478,6013
2022-12-05,2,101,101,0,222,327.44,8.0,3.0,25.0,72691,66992
2022-12-19,1,3775,8,3767,124,61.7,13.0,4.0,66.75,7651,644
2022-12-26,1,106,70,36,78,54.9,16.5,5.0,45.25,4282,619
2023-01-02,115,5177,3306,1871,55,81.24,18.0,5.5,92.0,4468,825
2023-01-09,218,20738,12687,8051,122,113.46,18.0,3.25,54.5,13842,1444
2023-01-16,241,15224,9352,5872,151,70.46,24.0,6.0,65.0,10640,992
2023-01-23,209,6149,3298,2851,166,34.53,6.0,2.0,20.75,5732,595
2023-01-30,290,19220,11087,8133,174,66.91,13.0,4.0,42.75,11643,2172
2023-02-06,121,52023,26624,25399,89,478.38,11.0,5.0,58.0,42576,31176
2023-02-13,202,16871,11289,5582,85,83.54,20.0,6.0,61.0,7101,1658
2023-02-20,219,16723,9534,7189,117,85.58,9.0,4.0,29.0,10013,1464
2023-02-27,329,21690,14096,7594,137,96.65,10.0,4.0,43.0,13241,3191
2023-03-06,235,13256,8695,4561,129,79.48,18.0,6.0,72.0,10253,927
2023-03-13,279,18715,11902,6813,149,83.75,19.0,6.0,73.0,12479,1912
2023-03-20,333,16233,7912,8321,162,52.8,8.0,2.0,26.0,8553,2671
2023-03-27,324,24987,13694,11293,97,130.79,12.0,4.0,43.0,12687,4215
2023-04-03,308,21205,10154,11051,118,113.57,20.0,6.0,73.5,13401,2211
2023-04-10,248,17577,11583,5994,111,95.61,24.0,8.0,93.0,10613,875
2023-04-17,267,22135,12818,9317,126,95.23,23.0,6.0,70.0,11999,2478
2023-04-24,211,8568,4533,4035,99,49.2,9.0,3.0,34.0,4871,1137
2023-05-01,206,7634,4567,3067,80,52.67,9.0,4.0,37.25,4214,546
2023-05-08,312,13588,8591,4997,106,72.03,18.5,5.25,65.5,7635,1405
2023-05-15,291,17111,10549,6562,110,95.67,21.0,4.0,56.25,10524,4176
2023-05-22,323,82601,44570,38031,124,613.22,14.5,4.0,43.5,76039,69948
2023-05-29,188,6349,3353,2996,104,40.35,8.0,4.0,26.0,4196,1237
2023-06-05,252,11526,6847,4679,101,55.99,12.0,4.0,45.0,5655,1202
2023-06-12,315,14767,9867,4900,101,91.31,13.0,4.0,77.0,9222,1444
2023-06-19,338,16893,9645,7248,116,91.71,17.5,6.0,78.0,10638,1012
2023-06-26,256,6735,4667,2068,125,39.5,16.0,6.0,28.0,4937,1133
2023-07-03,190,7746,4325,3421,87,66.85,15.0,6.0,47.0,5816,1055
2023-07-10,302,15093,10835,4258,119,78.34,21.0,6.0,66.5,9322,911
2023-07-17,269,12153,7725,4428,106,85.43,16.5,4.25,73.0,9056,1619
2023-07-24,203,27919,25467,2452,101,264.88,9.0,4.0,30.0,26753,11258
2023-07-31,178,9807,6047,3760,71,99.59,16.0,6.0,71.5,7071,1237
2023-08-07,255,13425,8367,5058,90,92.51,11.5,4.0,51.25,8326,1888
2023-08-14,257,11397,7233,4164,45,128.33,24.0,6.0,170.0,5775,1521
2023-08-21,357,18384,12793,5591,95,101.98,11.0,5.5,59.0,9688,3545
2023-08-28,295,14052,9572,4480,101,59.36,11.0,4.0,32.0,5995,1290
2023-09-04,372,32595,14876,17719,113,162.65,23.0,6.0,92.0,18380,4192
2023-09-11,220,15114,10738,4376,78,135.27,33.5,11.0,102.75,10551,2106
2023-09-18,279,14847,10470,4377,121,93.34,16.0,4.0,81.0,11294,1748
2023-09-25,177,3705,2522,1183,116,25.49,6.0,2.0,22.0,2957,411
2023-10-02,260,30445,18653,11792,115,158.28,17.0,4.0,51.5,18202,10024
2023-10-09,273,15500,9410,6090,92,133.09,21.5,4.0,69.5,12244,2552
2023-10-16,303,11373,7269,4104,111,59.87,16.0,6.0,62.5,6646,786
2023-10-23,244,12452,7905,4547,118,67.08,15.0,4.0,45.5,7916,2018
2023-10-30,250,18247,8352,9895,84,166.13,16.0,4.75,56.25,13955,5884
2023-11-06,332,27035,18187,8848,84,211.27,25.0,5.75,117.0,17747,7710
2023-11-13,333,26084,16231,9853,125,138.3,17.0,7.0,76.0,17287,3104
2023-11-20,222,26134,13492,12642,106,220.0,20.0,6.25,108.5,23320,10086
2023-11-27,248,7345,4139,3206,134,43.82,15.0,4.0,40.25,5872,760
2023-12-04,282,18829,12623,6206,134,117.75,12.0,4.0,39.0,15778,10086
2023-12-11,232,11002,6303,4699,135,56.01,12.0,4.0,40.5,7561,1439
2023-12-18,157,7624,5270,2354,72,57.36,17.0,6.0,51.25,4130,540
2023-12-25,7,555,400,155,4,124.25,43.5,23.75,144.0,497,396
2024-01-01,81,7290,4295,2995,55,112.58,21.0,5.5,84.0,6192,1202
2024-01-08,218,15864,11383,4481,141,87.03,19.0,4.0,67.0,12271,2628
2024-01-15,207,11246,7591,3655,122,76.66,22.0,8.0,69.75,9353,1444
2024-01-22,187,7189,4689,2500,134,44.13,9.0,3.0,28.5,5913,973
2024-01-29,264,20857,11733,9124,145,91.29,22.0,6.0,81.0,13237,1493
2024-02-05,224,18460,12548,5912,155,92.87,24.0,6.0,78.0,14395,2821
2024-02-12,317,22905,15415,7490,112,107.69,26.0,7.75,98.5,12061,1933
2024-02-19,217,7731,4365,3366,121,47.73,13.0,6.0,34.0,5775,967
2024-02-26,189,13944,8439,5505,95,113.61,23.0,7.0,79.0,10793,2396
2024-03-04,205,13644,8482,5162,100,85.41,21.0,4.0,77.5,8541,847
2024-03-11,298,22361,14336,8025,152,90.45,17.0,4.0,67.5,13748,1313
2024-03-18,370,21811,14410,7401,153,73.84,15.0,4.0,56.0,11298,1030
2024-03-25,233,9141,6918,2223,105,60.4,11.0,4.0,28.0,6342,2010
2024-04-01,273,13165,7720,5445,93,58.39,20.0,4.0,52.0,5430,609
2024-04-08,229,15683,9408,6275,95,134.87,25.0,6.0,80.0,12813,3522
2024-04-15,232,230867,223507,7360,91,1247.6,38.0,7.5,70.5,113532,105036
2024-04-22,235,10968,7045,3923,129,63.38,12.0,4.0,46.0,8176,2434
2024-04-29,158,10615,7757,2858,88,72.62,29.0,10.75,66.75,6391,800
2024-05-06,159,15623,10007,5616,78,106.04,33.0,5.25,87.0,8271,2236
2024-05-13,182,13696,8967,4729,130,91.84,22.5,5.0,58.5,11939,1926
2024-05-20,150,15106,10184,4922,110,103.62,39.0,8.0,107.75,11398,2008
2024-05-27,165,7540,4983,2557,143,52.2,10.0,3.5,28.0,7465,1963
2024-06-03,219,14176,8684,5492,147,76.5,19.0,5.0,82.5,11246,971
2024-06-10,88,5786,4006,1780,67,84.03,11.0,4.0,41.5,5630,1478
2024-06-17,201,17564,11702,5862,144,103.16,18.0,6.0,52.75,14855,1969
2024-06-24,154,10659,5566,5093,106,96.88,15.5,4.0,48.5,10269,2595
2024-07-01,132,18190,13654,4536,89,179.04,22.0,6.0,101.0,15935,8101
2024-07-08,169,20054,9977,10077,117,127.21,19.0,5.0,90.0,14883,2965
2024-07-15,206,65108,60857,4251,82,97.32,19.0,5.0,75.25,7980,1541
